Date,Episode ,EU / US slot,Topic (italics for unconfirmed),Host,Guests ,Invited / confirmed?,YouTube,Guest URL
16-April-2021,1,EU,Intro to Cilium,Liz,Thomas,Confirmed,,
23-April-2021,2,US,Intro to Hubble,Liz,Glib,Confirmed,,
30-April-2021,3,EU,Wireguard,Liz,Martynas,Confirmed,,
7-May-2021,4,US,KubeCon week - review eBPF & Cilium news & talks,Liz,"Kris Nova, Twilio",Confirmed,,
14-May-2021,5,EU,Performance benchmarking,Liz,Thomas,Confirmed,,
21-May-2021,6,US,v1.10,Liz,Joe,Confirmed,,
28-May-2021,7,EU,DNS,Liz,"Laurent Bernaille, Datadog",Confirmed,,
4-June-2021,8,US,Cilium CLI,Duffie,,Solo,,
11-June-2021,9,EU,XDP & LB,Liz,Daniel ,Confirmed,,
18-June-2021,10,US,eBPF for Windows,Liz,Dave Thaler,Confirmed,,
25-June-2021,11,EU,bpftool,Liz,Quentin,Confirmed,,
2-July-2021,12,US,kubectl trace,Duffie,Na,,,
9-July-2021,13,EU,XDP Tutorial,Liz,,,,
16-July-2021,14,US,,Duffie,Antonio Ojea, Confirmed,,https://github.com/aojea/netkat
23-July-2021,15,EU,Tracee runtime security,Liz,Itay Shakury,Confirmed,https://youtu.be/aOgidMoPz9A,https://twitter.com/itaysk
30-July-2021,16,US,,Duffie,Na,More kubectl trace,,
6-August-2021,,EU,Skip this week,Liz out this week,,,,
13-August-2021,17,US,,Duffie,NA,CVE-2021-3490,,
20-August-2021,18,EU,eBPF Summit CTF stage 3,Liz,,,,
27-August-2021,,US,Offsite week - skip? ,Duffie,,,,
3-September-2021,19,EU,Inspektor Gadget,Liz,Marga Manterola,Confirmed,https://youtu.be/RZ2qNm_vlUc,https://twitter.com/marga_manterola
10-September-2021,20,US,,,,,,
17-September-2021,21,EU,,,,,,
24-September-2021,22,US,,,,,,
1-October-2021,23,EU,,,,,,
8-October-2021,24,US,,,,,,
15-October-2021,25,EU,,,,,,
22-October-2021,26,US,,,,,,
29-October-2021,27,EU,,,,,,
5-November-2021,28,US,,,,,,
12-November-2021,29,EU,,,,,,
19-November-2021,30,US,,,,,,
26-November-2021,31,EU,,,,,,
3-December-2021,32,US,,,,,,
10-December-2021,33,EU,,,,,,
17-December-2021,34,US,,,,,,
24-December-2021,,EU,Cancel for Xmas,,,,,
,,,,,,,,
,,,,,,,,
date tbd,,,rawkode x eCHO? eBPF in Rust,Liz,David McKay,idea!,,
date tbd,,,,Liz,KP Singh,invited,,
,,,,Duffie,Andrii Nakryiko,to invite,,